,forecast
2026-01-01,681.8150466618235
2026-01-02,686.9729898643095
2026-01-03,744.5906803853073
2026-01-04,744.2279049000751
2026-01-05,681.6268871065257
2026-01-06,687.8412624212104
2026-01-07,681.2920283377173
2026-01-08,685.8477718270536
2026-01-09,691.2440161837342
2026-01-10,749.0991839957492
2026-01-11,748.9729915687099
2026-01-12,686.6075924958631
2026-01-13,693.0565523748481
2026-01-14,686.7407991867841
2026-01-15,691.5288507172502
2026-01-16,697.1561614228746
2026-01-17,755.2410854217014
2026-01-18,755.3432709376254
2026-01-19,693.2048038905806
2026-01-20,699.8791826333487
2026-01-21,693.7872683505749
2026-01-22,698.7975124995396
2026-01-23,704.6453036964033
2026-01-24,762.9489307260818
2026-01-25,763.2679770060422
2026-01-26,701.3444641956933
2026-01-27,708.2318269522381
2026-01-28,702.3508633485613
2026-01-29,707.5699623327049
2026-01-30,713.6244506326339
2026-01-31,772.1325557844519
2026-02-01,777.7015297242979
2026-02-02,715.977875975881
2026-02-03,723.0626990838039
2026-02-04,717.3767386091874
2026-02-05,722.7883257164382
2026-02-06,729.0327300951355
2026-02-07,787.7281230051508
2026-02-08,788.4339717752651
2026-02-09,726.8921834469618
2026-02-10,734.1560795642414
2026-02-11,728.6463466250277
2026-02-12,734.2312635737052
2026-02-13,740.6460487384804
2026-02-14,799.5088228917207
2026-02-15,800.3790037635324
2026-02-16,738.9984497002506
2026-02-17,746.4204344686834
2026-02-18,741.0655977216753
2026-02-19,746.8021725045261
2026-02-20,753.3653322059533
2026-02-21,812.3731536317463
2026-02-22,813.3850115313749
2026-02-23,752.1427222692125
2026-02-24,759.6995186412232
2026-02-25,754.4760003526637
2026-02-26,760.3403615363402
2026-02-27,767.0277377151024
2026-02-28,826.156168886716
2026-03-01,828.0692161192417
2026-03-02,766.9402170014025
2026-03-03,774.6065928167088
2026-03-04,769.4889107996637
2026-03-05,775.4553337215016
2026-03-06,782.2409668619764
2026-03-07,841.4638211031962
2026-03-08,842.6832074757665
2026-03-09,781.6408808488957
2026-03-10,789.3900147653029
2026-03-11,784.35115193648
2026-03-12,790.3924317778353
2026-03-13,797.2489373874014
2026-03-14,856.5386586462442
2026-03-15,857.8208867708291
2026-03-16,796.837358008997
2026-03-17,804.6412284803907
2026-03-18,799.6530246768793
2026-03-19,805.7408710025088
2026-03-20,812.6398367566576
2026-03-21,871.9678992385343
2026-03-22,873.2843383032723
2026-03-23,812.3308800612725
2026-03-24,820.1606717216342
2026-03-25,815.1942320952187
2026-03-26,821.2996791368761
2026-03-27,828.2120769305131
2026-03-28,887.5493987951352
2026-03-29,888.8709218421208
2026-03-30,827.9183706753773
2026-03-31,835.7448922352178
